content,at,appVersion,POSITIVE SCORE,NEGATIVE SCORE,NEUTRAL SCORE,COMPOUND SCORE,Sentiment
Fantastic App Thanks a lot STC You beauty,2023-06-08 13:09:54,1.10.30,72.0,0.0,28.000000000000004,88.34,Positive
It would be great to have an app that works indiscriminately for both the rich and the poor,2023-06-08 09:47:33,,29.799999999999997,12.0,58.099999999999994,68.08,Positive
The app is not being installed,2023-06-08 09:27:04,1.10.29,0.0,0.0,100.0,0.0,Neutral
Good apps,2023-06-08 09:18:00,,74.4,0.0,25.6,44.04,Positive
very good apps stc paysmiling face with heartssmiling face with heartssmiling face with hearts,2023-06-08 09:11:18,1.10.29,19.7,0.0,80.30000000000001,49.27,Positive
Nice,2023-06-08 08:44:52,,100.0,0.0,0.0,42.15,Positive
Very good app for faster and easier,2023-06-07 23:35:50,1.10.29,54.50000000000001,0.0,45.5,71.78,Positive
Its getting hard to receive otp verification to transfer international,2023-06-07 21:23:59,1.10.29,0.0,13.5,86.5,-10.27,Negative
Perfect thumbs up,2023-06-07 20:28:47,1.10.29,64.9,0.0,35.099999999999994,57.19,Positive
Good thumbs upthumbs up,2023-06-07 08:41:07,,49.2,0.0,50.8,44.04,Positive
It was fast and the beginning but now the verification code will not be sent to your phone immediately It will take decades Now I keep receiving  for your safety temporary lock has been applied I cannot log in to my account,2023-06-07 08:01:50,,8.7,0.0,91.3,57.19,Positive
Terrible app hardly works and requires the location to be accurate to even log in which is a mess for my horrible Chinese phone,2023-06-07 06:20:50,,0.0,31.3,68.7,-84.42,Negative
Very poor and almost unusable on android The hide transaction feature for old transactions i do not need does not work Buggy as heck does not work in Neighboring countries that have STC pay like Bahrain Was stuck at a starbucks unable to process payment It has great potential just needs to fix the bugs,2023-06-07 04:11:18,1.10.29,10.6,13.700000000000001,75.7,2.76,Positive
It is easy network,2023-06-06 21:18:25,,49.2,0.0,50.8,44.04,Positive
I want stc pay bacecus do not avctve online application,2023-06-06 18:31:21,1.10.29,13.4,14.399999999999999,72.2,-2.58,Negative
International transfer charge its very high enraged facethumbs downthumbs downthumbs down,2023-06-06 12:14:16,1.10.29,0.0,22.900000000000002,77.10000000000001,-45.49,Negative
Very bad App no any quickly feedback Ones time hold your amount you forget number days No call back service no official no senior person no manager only call center,2023-06-06 03:50:35,,3.2,43.2,53.6,-93.76,Negative
No good,2023-06-05 23:52:30,1.10.29,56.89999999999999,43.1,0.0,17.79,Positive
I cannot topup after i update my account info,2023-06-05 04:07:23,,0.0,0.0,100.0,0.0,Neutral
Nice thumbs up mediumdark skin tone,2023-06-05 02:22:33,1.10.29,35.9,0.0,64.1,42.15,Positive
I had bad experienced using this app services they having worst services and the customer services are unprofessional employee My money stuck and it is been number days I did not receive any money they do not have a solution or even do not do anything it is from to local not international they ui app worst because there is no time estimation for transfer between local bank worst services ever,2023-06-05 00:07:07,1.10.29,1.5,29.5,69.0,-97.49,Negative
Ok,2023-06-04 21:23:21,1.10.29,100.0,0.0,0.0,29.599999999999998,Positive
The app was alot of issues and has alot of bugs but other than that it is good,2023-06-04 06:08:45,1.10.29,18.5,0.0,81.5,59.27,Positive
Very bad app I am tired to opening account,2023-06-03 17:14:58,1.10.29,0.0,52.7,47.3,-77.13,Negative
Very bad app it is very complicated pls Make it easy to user,2023-06-03 07:52:53,,24.5,20.8,54.7,-8.1,Negative
Why I cannot sending money international even first day of the month says I am exceeding limit what happened,2023-06-03 06:09:08,,0.0,0.0,100.0,0.0,Neutral
Marvelous app thumbs upOK handroseroserosehundred points Secure locked with key,2023-06-03 05:13:23,1.10.5,44.1,0.0,55.900000000000006,74.3,Positive
I cannot transfer now,2023-06-03 03:33:02,1.10.29,0.0,0.0,100.0,0.0,Neutral
verry verry best app india money transfar best best,2023-06-03 01:25:37,,67.7,0.0,32.300000000000004,92.74,Positive
Superb apps,2023-06-02 08:52:19,1.10.29,80.4,0.0,19.6,62.49,Positive
Very useful app,2023-06-02 07:59:45,1.10.29,61.5,0.0,38.5,49.27,Positive
Sonukumar,2023-06-02 06:47:29,1.10.29,0.0,0.0,100.0,0.0,Neutral
Very bad customer experience Transactions are not being done on real time I need now but customer service said it will take number business day what is the benefit Someone have emergency or very badly needed and getting reply number business day thumbs downthumbs downthumbs downthumbs down mediumdark skin tonethumbs down mediumdark skin tonethumbs down mediumdark skin tone,2023-06-02 06:28:28,1.10.29,10.100000000000001,15.2,74.7,-66.9,Negative
So good,2023-06-02 05:25:18,1.10.29,76.2,0.0,23.799999999999997,49.27,Positive
Good thumbs up,2023-06-01 23:10:24,1.10.29,59.199999999999996,0.0,40.8,44.04,Positive
It is easy for me to send money in philippines great app smiling face with hearts,2023-06-01 18:53:37,1.10.29,43.5,0.0,56.49999999999999,87.5,Positive
,2023-06-01 12:24:41,1.10.29,0.0,0.0,0.0,0.0,Neutral
I have been using this app for more than number year i analyzed this  and when you are checking the exchange rate for example they ll show you Sar number  Pkr numbernumber when you ll transfer your money then they ll give you an exchange rate to numbernumber or less and transfer fees also higher than other apps believe me this is completely unacceptable and cheating with peoples They should not play like this I believe SAR numbernumber transfer fees enough  this is already too much No reply numberm stc pay stil,2023-06-01 09:20:14,,3.2,15.0,81.8,-89.44,Negative
I sent money to India But untill now not yet received It taking so much time to transfer several time Even if any error refund takes time in stc pay Please fix it as soon as possible,2023-06-01 08:25:25,1.10.29,7.199999999999999,12.5,80.30000000000001,-29.599999999999998,Negative
I transfered money to STC Pay using my atm SNB its been number days now but still I did not receive the amount I tried making ticketcomplaint but still NOTHING Trust should be honored we are using your app to transfer money to our family Please fix this issue folded hands,2023-05-31 20:40:38,,16.3,8.3,75.4,67.54,Positive
Good services,2023-05-31 19:02:26,1.10.29,74.4,0.0,25.6,44.04,Positive
Its transactions are very secure,2023-05-31 14:15:32,1.10.29,40.2,0.0,59.8,40.050000000000004,Positive
Best,2023-05-31 09:40:46,1.10.29,100.0,0.0,0.0,63.690000000000005,Positive
Started asking about location and other stuff and will not work without them,2023-05-31 06:17:55,1.10.29,0.0,0.0,100.0,0.0,Neutral
hold,2023-05-31 05:11:45,1.10.29,0.0,0.0,100.0,0.0,Neutral
Why it takes to much time to transfer from my Bank account Al Rahji to my STC account Sometimes it takes number to number days this is not good at all,2023-05-31 04:27:19,,7.9,7.3,84.8,-20.369999999999997,Negative
Very very good,2023-05-31 03:23:57,,63.4,0.0,36.6,53.790000000000006,Positive
pink heart,2023-05-31 02:54:42,1.10.29,0.0,0.0,100.0,0.0,Neutral
When login from new device says for saftey wait numberh why,2023-05-31 01:10:27,,0.0,0.0,100.0,0.0,Neutral
Very poor cannot register,2023-05-30 23:44:41,1.10.29,0.0,53.1,46.9,-52.559999999999995,Negative
My stc pay account hackedI can open application but I cannot transfer moneyhelp me,2023-05-30 22:51:42,1.10.29,0.0,9.1,90.9,-5.16,Negative
,2023-05-30 19:59:23,,0.0,0.0,0.0,0.0,Neutral
Very useful,2023-05-30 16:51:45,1.10.29,76.2,0.0,23.799999999999997,49.27,Positive
The worst customer service in the history of customer service not talking about attitude they are quite nice they cannot fix the simplest issues,2023-05-30 14:49:47,,10.6,14.000000000000002,75.4,-25.16,Negative
Not good slowly appearance,2023-05-30 08:18:07,1.10.29,0.0,44.5,55.50000000000001,-34.12,Negative
Verygood,2023-05-30 06:35:25,,0.0,0.0,100.0,0.0,Neutral
very poor customer support and the app have many bugs to be fixed,2023-05-30 03:20:46,1.10.29,17.1,19.5,63.4,-11.020000000000001,Negative
I m unable to reset passcode Always technical issue and try again later,2023-05-29 23:53:41,1.10.29,0.0,0.0,100.0,0.0,Neutral
Worst experience ever,2023-05-29 09:22:06,1.10.29,0.0,67.2,32.800000000000004,-62.49,Negative
Why the otp is dalayI cannot used the otp,2023-05-28 20:48:36,1.10.29,0.0,0.0,100.0,0.0,Neutral
This account system is very good and help full for coustmer,2023-05-28 11:32:31,1.10.16,40.6,0.0,59.4,73.16,Positive
Nice apps,2023-05-28 11:28:19,1.10.29,73.7,0.0,26.3,42.15,Positive
Useful smiling face with hearts,2023-05-28 10:12:58,1.10.29,66.3,0.0,33.7,70.96000000000001,Positive
Do I really have to wait numberhrs for the money to be approved on the account It is so annoying and slow,2023-05-28 09:53:51,1.10.29,11.1,13.8,75.1,-17.57,Negative
Not alert sms come more time,2023-05-28 09:23:53,,0.0,27.400000000000002,72.6,-22.35,Negative
Too good stc,2023-05-27 17:52:56,1.10.29,59.199999999999996,0.0,40.8,44.04,Positive
Hello STC Pay why it takes too long to get your OTP I have been trying to send money for the last number Hours and I Am not getting the OTP and it takes long and by the time I get OTP it is expired WHY  Why Again this Issue,2023-05-27 02:02:39,1.10.29,2.7,2.9000000000000004,94.3,-2.58,Negative
Excellent,2023-05-26 12:33:55,,100.0,0.0,0.0,57.19,Positive
,2023-05-26 07:19:05,,0.0,0.0,0.0,0.0,Neutral
Not working this apps,2023-05-25 11:09:10,,0.0,0.0,100.0,0.0,Neutral
Nice thumbs up,2023-05-25 08:42:55,,58.3,0.0,41.699999999999996,42.15,Positive
Recommended adding a pay by nfc  This will help android user pay by phone,2023-05-24 05:06:46,1.10.29,23.7,34.2,42.1,-25.0,Negative
Good experience for mepurple heart,2023-05-24 04:42:30,1.10.29,42.0,0.0,57.99999999999999,44.04,Positive
I have transferred money to my wallet and the balance remains number contacted the customer support and nothing happened,2023-05-24 03:38:49,1.10.29,20.0,0.0,80.0,45.879999999999995,Positive
Best app,2023-05-24 03:23:11,,80.80000000000001,0.0,19.2,63.690000000000005,Positive
It is working well now,2023-05-22 20:41:04,1.10.5,34.4,0.0,65.60000000000001,27.32,Positive
,2023-05-22 05:46:38,1.10.29,0.0,0.0,0.0,0.0,Neutral
I want to create a new account but there showing a eror  The Eror isId Verification Failed  How can i create a new account please suggest me,2023-05-21 12:24:50,1.10.29,27.900000000000002,15.0,57.099999999999994,21.44,Positive
Very good app,2023-05-21 09:11:36,1.10.29,61.5,0.0,38.5,49.27,Positive
Good service thumbs up,2023-05-21 04:42:47,1.10.29,49.2,0.0,50.8,44.04,Positive
ITS DELAYS TO REFLECT THE MONEY ONCE YOU TRANSFER FROM BANK ACCOUNT TO STCPAY KINDLY SOLVE THIS ISSUE AND MINIMIZE THE DELAY TO numberMINTHANKS,2023-05-21 03:28:34,1.10.29,21.2,9.9,68.89999999999999,53.190000000000005,Positive
Wow,2023-05-20 10:15:51,1.10.29,100.0,0.0,0.0,58.589999999999996,Positive
The refunds from cancelled orders took a long time to be reversed I ordered from iherb and I cancelled by mistake at the same moment in which the money should be reversed at the same moment But unfortunately stcpay wanted me to wait numbernumber days However I offered them to give the reference number for the refund operation I also received a picture about the refund as proof but still they wanted me to wait number to number day and my money still pending,2023-05-20 02:24:56,1.10.29,5.2,9.4,85.39999999999999,-53.459999999999994,Negative
Awesome,2023-05-19 22:59:51,,100.0,0.0,0.0,62.49,Positive
Very good appsno Hussle,2023-05-19 21:48:52,,51.6,0.0,48.4,49.27,Positive
Bad vary bad,2023-05-19 14:21:43,,0.0,87.5,12.5,-79.06,Negative
The overall service is good but some time added features do not work properly,2023-05-19 10:36:15,1.4.7,13.0,0.0,87.0,23.82,Positive
To bad application,2023-05-18 23:12:15,1.10.28,0.0,63.6,36.4,-54.230000000000004,Negative
number year,2023-05-18 04:17:39,,56.49999999999999,0.0,43.5,7.720000000000001,Positive
Nice In,2023-05-17 08:50:30,1.10.28,73.7,0.0,26.3,42.15,Positive
its not login with my number its says with id number did not match,2023-05-17 08:10:21,1.10.28,17.8,0.0,82.19999999999999,15.310000000000002,Positive
Do Not try this You cannot use your money outside the country This is scamming company,2023-05-17 07:33:02,1.10.28,0.0,0.0,100.0,0.0,Neutral
Horrible app first ever transaction I do here on the app they take away number sar and the service is never activated After opening the ticket and tons of back forth messages they keep asking about proof feom the merchant side that the merchant themselves do not have Totally horrible piece of crp app,2023-05-17 03:12:22,1.10.28,7.5,6.0,86.4,-3.44,Negative
,2023-05-16 23:04:56,1.10.28,0.0,0.0,0.0,0.0,Neutral
Bad service and the company more bad because I had a problem from number month and every time I call them only say we will solve the problem thumbs downthumbs downthumbs down,2023-05-16 15:57:32,1.10.28,8.0,32.7,59.3,-89.08,Negative
Please everyone try stc pay it will make your life easy very easy Thank you stc pay for all services,2023-05-16 13:52:26,1.10.28,39.300000000000004,10.100000000000001,50.6,84.34,Positive
It is amazing,2023-05-16 13:04:23,,65.5,0.0,34.5,58.589999999999996,Positive
it is good and easy to used,2023-05-16 00:18:17,1.10.28,53.7,0.0,46.300000000000004,70.03,Positive
hj,2023-05-15 22:03:16,,0.0,0.0,100.0,0.0,Neutral
Mohd Irshad,2023-05-15 19:58:55,1.10.28,0.0,0.0,100.0,0.0,Neutral
I love this app,2023-05-15 15:28:22,1.10.28,67.7,0.0,32.300000000000004,63.690000000000005,Positive
good apps,2023-05-15 12:41:43,1.10.16,74.4,0.0,25.6,44.04,Positive
I did not get OTP in two minutes OTP is coming after number number mins if i enter the OTP is expired OTP is coming after number number mins it is not valid,2023-05-15 05:27:01,1.10.28,16.1,0.0,83.89999999999999,29.599999999999998,Positive
Vip,2023-05-14 19:15:23,1.10.28,100.0,0.0,0.0,51.06,Positive
I am very satisfy with this app,2023-05-14 04:35:40,1.10.28,39.7,0.0,60.3,50.949999999999996,Positive
I do not understand why I cannot transfer fund from my bank account to this account Before I can easily did it But now always mentioned my subscription number is not valid,2023-05-14 01:06:55,1.10.28,10.4,0.0,89.60000000000001,28.46,Positive
,2023-05-13 04:47:35,1.10.28,0.0,0.0,0.0,0.0,Neutral
Thank you Stc Pay Good Job,2023-05-12 22:55:12,1.10.4,55.1,14.299999999999999,30.599999999999998,61.24000000000001,Positive
good nice best easy use,2023-05-12 17:09:26,1.10.8,92.80000000000001,0.0,7.199999999999999,91.53,Positive
,2023-05-12 07:34:56,,0.0,0.0,0.0,0.0,Neutral
Stc pay to local transfer are holding it is too late,2023-05-10 14:34:48,1.10.28,0.0,12.3,87.7,-10.27,Negative
Very helpful application,2023-05-10 07:59:09,1.10.28,60.699999999999996,0.0,39.300000000000004,47.54,Positive
Not open my account,2023-05-10 04:24:37,1.10.28,0.0,0.0,100.0,0.0,Neutral
Very bad why stop now not opne vpn network pls alow I need vpn server,2023-05-10 02:28:39,,7.000000000000001,33.7,59.3,-71.46000000000001,Negative
You need to set your network is not working perfectly,2023-05-10 01:51:41,,0.0,27.200000000000003,72.8,-52.16,Negative
VVV good,2023-05-09 23:36:03,1.10.28,74.4,0.0,25.6,44.04,Positive
GOP,2023-05-09 14:37:22,,0.0,0.0,100.0,0.0,Neutral
Stcpay number number in the kingdom,2023-05-09 09:10:47,1.10.28,39.4,0.0,60.6,15.310000000000002,Positive
Great,2023-05-09 01:28:26,,100.0,0.0,0.0,62.49,Positive
Very bad everytime update update daily very bad,2023-05-08 19:59:30,1.10.16,0.0,55.800000000000004,44.2,-82.17999999999999,Negative
Please add Dark Mode to stcpay app,2023-05-08 14:54:53,1.10.28,27.700000000000003,0.0,72.3,31.819999999999997,Positive
It is not working,2023-05-08 14:11:03,,0.0,0.0,100.0,0.0,Neutral
Now i cannot transfer money from al rajhi bank ATM to stc pay app Please give assistancepensive facepensive facepensive facepensive face,2023-05-08 08:42:09,,10.6,6.5,82.89999999999999,22.63,Positive
Thanks stc,2023-05-08 06:22:10,1.10.28,74.4,0.0,25.6,44.04,Positive
I am using ST pay to recharge my mobileslocal bank transaations onllneas etc,2023-05-08 05:55:59,,0.0,11.3,88.7,-10.27,Negative
good,2023-05-08 05:43:12,,100.0,0.0,0.0,44.04,Positive
Very good quality,2023-05-07 18:46:53,,61.5,0.0,38.5,49.27,Positive
Very nice thumbs up,2023-05-07 11:32:58,1.10.28,50.8,0.0,49.2,47.54,Positive
Otp it not receiving soon I suffer many times for receiving otp Even i cannot register now When the timed out otp receiving Irritating,2023-05-06 08:07:13,1.10.28,11.0,11.600000000000001,77.4,-3.8699999999999997,Negative
Technical team should to fix the onHold I would upload option it is not working it is a problem for ushow proceed it Really disappointed disappointed face,2023-05-06 04:23:52,1.10.27,0.0,30.099999999999998,69.89999999999999,-85.86,Negative
this good application,2023-05-05 20:37:25,,59.199999999999996,0.0,40.8,44.04,Positive
Very good service,2023-05-05 19:26:50,1.10.27,61.5,0.0,38.5,49.27,Positive
Not available in Egyptenraged face,2023-05-05 11:32:31,,0.0,0.0,100.0,0.0,Neutral
Super,2023-05-05 04:05:38,,100.0,0.0,0.0,59.940000000000005,Positive
Good working,2023-05-04 14:41:30,,74.4,0.0,25.6,44.04,Positive
Malik Muzamil Nawaz sinawan,2023-05-04 14:05:29,,0.0,0.0,100.0,0.0,Neutral
SCAM APP I deposited money because i need to send money urgent but no Money added to my account filed a complaint but no response USELESS APP I need the money urgent,2023-05-04 12:00:30,1.10.27,8.9,39.300000000000004,51.800000000000004,-92.34,Negative
Nice app iam using more than number years,2023-05-04 08:29:58,1.10.17,42.199999999999996,0.0,57.8,52.33,Positive
There are some technical issues in the app I tried to upload ID for my onhold international transaction but it does not work I cannot browse my filesID Pictures to be selected in the stc pay application Then I tried to open a ticket for my onhold international transaction regarding ID upload Then i faced the numbernd problem here When i tried to put the ID expiry date it only shows the past calendar it does not allow me to select the correct expiry date because there is no upcoming calender,2023-05-04 01:35:18,1.10.27,0.0,10.9,89.1,-83.8,Negative
worst app i cannot sign up from last number days it always shows unable to verify your id,2023-05-03 16:25:41,1.10.27,6.4,20.1,73.5,-58.589999999999996,Negative
Very easytouse and safe,2023-05-03 09:51:46,1.10.27,51.300000000000004,0.0,48.699999999999996,48.77,Positive
Very bad slow transactions Worst service,2023-05-03 04:53:25,1.10.27,0.0,66.4,33.6,-83.57,Negative
Very delayed transfer International transfer time is number hours max Once you complaint then they will rase ticket by saying it will be resolved in number days  So total number days you will suffer with different complaints And you are lucky if your money delivered in number days  Other wise complaint again and again wait for number days,2023-05-03 01:39:24,1.10.27,19.6,17.8,62.6,-40.050000000000004,Negative
Good mabe,2023-05-03 00:09:50,,74.4,0.0,25.6,44.04,Positive
I cannot transfer my money to the system the web page are not working,2023-05-02 22:29:52,1.10.27,0.0,0.0,100.0,0.0,Neutral
Very good but cannot deposit cash,2023-05-02 16:01:27,1.3.4,29.5,0.0,70.5,27.24,Positive
,2023-05-02 10:29:16,1.10.27,0.0,0.0,0.0,0.0,Neutral
I ban bank add money service is very bad every time taking numberhr not instant my experience with stc pay is not good pensive faceneutral face,2023-05-02 06:45:53,1.10.27,0.0,38.3,61.7,-88.64999999999999,Negative
It is app not open and do not work properly,2023-05-01 23:48:24,1.10.27,0.0,0.0,100.0,0.0,Neutral
Hi Stc pay why we could not able to add money into the STC pay wallet more than number per day by using mada card Al rajhi SABB etc,2023-05-01 13:38:00,1.10.27,5.2,9.2,85.6,-5.71,Negative
very good app,2023-05-01 13:05:40,,61.5,0.0,38.5,49.27,Positive
I cannot open this app I want reset my password but I cannot,2023-05-01 12:36:00,1.10.27,11.3,0.0,88.7,3.8699999999999997,Positive
Swift International remittances with acceptable Exchage rate too,2023-05-01 12:14:13,,40.6,0.0,59.4,47.67,Positive
Promo code need from where I get,2023-05-01 10:16:11,1.10.27,0.0,0.0,100.0,0.0,Neutral
Good stc pay,2023-05-01 09:57:55,1.10.27,54.7,26.400000000000002,18.9,36.120000000000005,Positive
nice very good,2023-05-01 05:29:25,,85.7,0.0,14.299999999999999,71.78,Positive
Good and easy,2023-04-30 11:20:17,,85.3,0.0,14.7,70.03,Positive
Good app thumbs up,2023-04-30 10:53:28,1.10.27,49.2,0.0,50.8,44.04,Positive
Nine,2023-04-30 09:47:57,1.10.27,0.0,0.0,100.0,0.0,Neutral
Not working in pixel number pro,2023-04-30 03:14:27,1.10.27,20.599999999999998,0.0,79.4,7.720000000000001,Positive
Anumber Samsung,2023-04-30 01:35:36,1.10.27,0.0,0.0,100.0,0.0,Neutral
I like using the app fast in sending money to my beloved family,2023-04-29 22:41:18,1.10.10,36.7,0.0,63.3,70.03,Positive
Your account status is not valid to perfrom this transaction,2023-04-29 17:12:53,1.10.27,0.0,0.0,100.0,0.0,Neutral
Excellent service stc pay,2023-04-29 16:30:49,1.10.27,52.1,19.7,28.199999999999996,51.06,Positive
Very good Service,2023-04-29 04:03:36,1.10.27,61.5,0.0,38.5,49.27,Positive
Good apps quickly send money my family in Philippines,2023-04-29 03:30:05,,26.6,0.0,73.4,44.04,Positive
Saddad payments must be added,2023-04-29 03:28:46,1.10.27,0.0,0.0,100.0,0.0,Neutral
super apphibiscus,2023-04-29 01:00:45,,79.60000000000001,0.0,20.4,59.940000000000005,Positive
Unumbernumber what younumber dan saya akan numberq XBnumber number,2023-04-28 23:58:35,1.10.27,14.000000000000002,0.0,86.0,7.720000000000001,Positive
Thanks STC PAY it is very helpful apps to send money,2023-04-28 22:50:09,,37.2,13.200000000000001,49.6,59.4,Positive
Very good application,2023-04-28 18:39:38,,61.5,0.0,38.5,49.27,Positive
thumbs upthumbs up,2023-04-28 17:05:23,,0.0,0.0,100.0,0.0,Neutral
Good application thumbs up,2023-04-28 14:36:42,,49.2,0.0,50.8,44.04,Positive
,2023-04-28 11:48:09,1.10.27,0.0,0.0,0.0,0.0,Neutral
Best app for daily use,2023-04-28 10:20:52,,51.2,0.0,48.8,63.690000000000005,Positive
Thank you for bieng absolutely good with us smiling face Allah Hafiz to all folded hands,2023-04-28 10:02:47,,40.1,0.0,59.9,82.67999999999999,Positive
Very satisfying,2023-04-28 07:46:41,,76.7,0.0,23.3,50.949999999999996,Positive
I want to be registered in this app,2023-04-28 02:38:00,1.10.27,17.8,0.0,82.19999999999999,7.720000000000001,Positive
Trust worthy,2023-04-28 01:30:16,1.10.27,100.0,0.0,0.0,73.50999999999999,Positive
Very good and nice service,2023-04-27 20:26:51,1.10.27,67.60000000000001,0.0,32.4,73.97,Positive
I have transferred money from SNB Quick Pay account to my STC Pay account on numbernumbernumber but still now my money is not deposited to my STC pay Account I have called the customer care more then number to number times asking me to submit the transaction document but due to their App software update issue when I try to select the transaction document app is close automatically to mobile main manu always same answer your ticket is under process more then number  half month now i have not get my money bad servic,2023-04-27 13:04:28,1.10.27,9.8,8.7,81.5,28.52,Positive
Excellent service,2023-04-27 10:43:45,,78.7,0.0,21.3,57.19,Positive
I am Comfortable to use this apps,2023-04-27 09:28:06,,39.800000000000004,0.0,60.199999999999996,51.06,Positive
Very good service,2023-04-27 09:22:31,1.10.27,61.5,0.0,38.5,49.27,Positive
Last update is the worst it keeps deleting the app data and requires me to make a fresh login every time i open the app,2023-04-27 05:52:10,1.10.27,8.4,15.0,76.6,-42.15,Negative
Nice OK hand,2023-04-27 00:18:18,1.10.27,100.0,0.0,0.0,83.74000000000001,Positive
Really good,2023-04-26 16:28:00,,76.2,0.0,23.799999999999997,49.27,Positive
Updating my post I am now giving number stars For their excellent job in updating this app to satisfy customers Customer service still needs to be improved,2023-04-26 12:47:42,1.10.27,39.1,0.0,60.9,91.0,Positive
Id verification failed Why this massage showing Again and Again,2023-04-26 10:26:11,1.10.27,0.0,26.8,73.2,-51.06,Negative
pensive face,2023-04-26 05:07:59,1.10.27,56.49999999999999,0.0,43.5,7.720000000000001,Positive
Nowsdaybstc pay is very slow app is brilliant before it was quicker nows its service is very slow,2023-04-26 03:40:07,1.10.27,17.9,6.6000000000000005,75.5,52.669999999999995,Positive
I cannot receive the pin code on my mobile please help me,2023-04-25 19:47:04,1.10.27,35.699999999999996,0.0,64.3,61.24000000000001,Positive
Good application to transfer internationally with Good rates,2023-04-25 16:27:51,,49.2,0.0,50.8,70.03,Positive
Gd service,2023-04-25 11:43:07,1.10.27,0.0,0.0,100.0,0.0,Neutral
