content,at,appVersion,POSITIVE SCORE,NEGATIVE SCORE,NEUTRAL SCORE,COMPOUND SCORE,Sentiment
,2023-05-15 09:39:05,4.36.0,0.0,0.0,0.0,0.0,Neutral
,2023-05-15 09:23:54,4.36.0,0.0,0.0,0.0,0.0,Neutral
Very easy,2023-05-15 07:50:48,4.34.0,76.2,0.0,23.799999999999997,49.27,Positive
vare niec,2023-05-15 07:15:50,4.36.0,0.0,0.0,100.0,0.0,Neutral
It is easy to use simplify to understand,2023-05-15 07:06:10,4.36.0,29.299999999999997,0.0,70.7,44.04,Positive
number,2023-05-15 05:59:01,4.36.0,100.0,0.0,0.0,7.720000000000001,Positive
it is really good and easier to use,2023-05-15 00:53:10,4.36.0,51.0,0.0,49.0,73.97,Positive
Cannot able to received opt code,2023-05-14 21:37:15,,0.0,0.0,100.0,0.0,Neutral
Do Not like it,2023-05-14 14:14:30,,0.0,41.3,58.699999999999996,-27.55,Negative
is ok,2023-05-14 13:01:24,4.36.0,68.8,0.0,31.2,29.599999999999998,Positive
very nice,2023-05-14 12:46:37,4.36.0,75.6,0.0,24.4,47.54,Positive
Great app,2023-05-14 12:38:58,4.35.0,80.4,0.0,19.6,62.49,Positive
very easy to use,2023-05-14 12:28:03,4.36.0,51.6,0.0,48.4,49.27,Positive
Thanks STC,2023-05-14 12:02:26,4.36.0,74.4,0.0,25.6,44.04,Positive
,2023-05-14 11:22:05,4.36.0,0.0,0.0,0.0,0.0,Neutral
it is the best service in STC,2023-05-14 08:21:27,4.36.0,41.199999999999996,0.0,58.8,63.690000000000005,Positive
brilliant,2023-05-14 06:13:01,4.36.0,100.0,0.0,0.0,58.589999999999996,Positive
loved it,2023-05-14 04:42:54,4.36.0,79.60000000000001,0.0,20.4,59.940000000000005,Positive
User friendly app,2023-05-13 23:11:28,4.36.0,61.5,0.0,38.5,49.39,Positive
User friendly and more options to choose from the packages,2023-05-13 22:52:31,4.34.0,26.200000000000003,0.0,73.8,49.39,Positive
excellent app thanks stc,2023-05-13 20:33:12,4.36.0,76.7,0.0,23.3,76.5,Positive
Great fast app the only thing they should allow to use the app when you have no internet,2023-05-13 20:30:57,4.36.0,25.900000000000002,9.5,64.7,58.589999999999996,Positive
Before numbernumber Months it is work good After Update app cannot shows the duration of calls consumed mint only shows the consumption of balance Please fix it,2023-05-11 15:20:04,,17.2,0.0,82.8,63.690000000000005,Positive
App is good but what about device on contract i am paying number per month about number months and still employee says wait number months when i purchase this package he says you can take any mobile after number months after number months he says wait number months What a joke,2023-05-10 11:56:55,4.36.0,25.2,0.0,74.8,81.51,Positive
To much good,2023-05-10 09:53:15,4.36.0,59.199999999999996,0.0,40.8,44.04,Positive
Fasumon,2023-05-09 23:16:18,,0.0,0.0,100.0,0.0,Neutral
Very good apps,2023-05-09 15:57:52,4.35.0,61.5,0.0,38.5,49.27,Positive
I tried to recharge twice but no one came My balance is still zero It is a waste of my moneypensive facepensive faceIt is a pity that my numbergb suddenly disappeared and no cash back  I tried number times and nothing came to me I still have a balance of zeroI bought a load again number times I received the payment but I made a balance and there is still no zero,2023-05-09 01:56:27,,3.9,23.3,72.8,-93.66,Negative
,2023-05-08 12:57:56,4.35.0,0.0,0.0,0.0,0.0,Neutral
I had to uninstall this app after just a few minutes of using it The interface was clunky and hard to navigate and the few features that did work were not very helpful In addition do not even get me started on the constant crashes and glitches This app is not worth your time or storage space Save yourself the frustration and find a better one,2023-05-08 06:18:11,,8.5,12.1,79.4,-15.68,Negative
Nice apos,2023-05-08 02:17:48,,73.7,0.0,26.3,42.15,Positive
,2023-05-07 20:28:50,,0.0,0.0,0.0,0.0,Neutral
Not working properly,2023-05-07 00:27:13,4.35.0,0.0,0.0,100.0,0.0,Neutral
Bad coverage in madeena I have number sim saws like plus sawa share plus,2023-05-06 07:49:19,4.35.0,32.4,18.9,48.6,12.8,Positive
,2023-05-05 14:19:27,,0.0,0.0,0.0,0.0,Neutral
Nise apps,2023-05-05 11:53:17,,0.0,0.0,100.0,0.0,Neutral
,2023-05-05 11:26:30,4.35.0,0.0,0.0,0.0,0.0,Neutral
Good thumbs up,2023-05-05 11:14:19,4.35.0,59.199999999999996,0.0,40.8,44.04,Positive
Very good app,2023-05-05 05:01:18,4.34.0,61.5,0.0,38.5,49.27,Positive
The recharging is a nightmare,2023-05-04 22:02:54,4.35.0,0.0,0.0,100.0,0.0,Neutral
Thanks best offer dene k liye,2023-05-04 14:40:57,4.33.0,70.3,0.0,29.7,79.64,Positive
I love this Service beating heartbeating heartbeating heartbeating heartbeating heartbeating heartbeating heartbeating heartbeating heart It is the best On Earth,2023-05-04 04:30:49,4.35.0,30.7,10.9,58.4,75.06,Positive
black heartwilted flower,2023-05-01 16:21:33,4.35.0,0.0,0.0,100.0,0.0,Neutral
,2023-04-30 15:33:09,4.35.0,0.0,0.0,0.0,0.0,Neutral
,2023-04-30 11:52:10,4.35.0,0.0,0.0,0.0,0.0,Neutral
,2023-04-30 05:18:11,4.35.0,0.0,0.0,0.0,0.0,Neutral
Always shows connection error,2023-04-29 14:49:01,,0.0,47.4,52.6,-40.19,Negative
,2023-04-29 07:24:22,,0.0,0.0,0.0,0.0,Neutral
Iffu,2023-04-27 16:55:31,4.30.0,0.0,0.0,100.0,0.0,Neutral
Hi good app,2023-04-27 06:23:38,,59.199999999999996,0.0,40.8,44.04,Positive
Cannot Register on Mystc KSA I could not register on mystc website and therefore tried on the mobile app mystc KSA Registration on the mySTC mobile app was successful but could not login as the number digit verification code OTP was sent to the landline number I DO NOT HAVE A LANDLINE or STC SIM which means I will never get the OTP Please send OTP on other carriers or on registered gmail New users planning to buy STC numberG do not buy STC if you have mobily or zain SIM card,2023-04-27 04:42:09,4.35.0,8.9,0.0,91.10000000000001,73.91,Positive
It is good the performance,2023-04-26 13:55:47,4.35.0,42.0,0.0,57.99999999999999,44.04,Positive
,2023-04-26 10:19:05,4.35.0,0.0,0.0,0.0,0.0,Neutral
Everything is r tree and t I love t I was like I Said,2023-04-25 13:06:53,4.35.0,52.800000000000004,0.0,47.199999999999996,77.17,Positive
Hello any one there Maybe you are not aware but the app is not working for number days now Did all of your tech people went for vacation thinking faceangry face,2023-04-25 04:31:32,,0.0,4.3,95.7,-8.57,Negative
Worest customer service bad application even in phone they are usless,2023-04-24 17:51:15,4.35.0,0.0,25.900000000000002,74.1,-54.230000000000004,Negative
Not okay,2023-04-24 10:55:23,4.21.0,0.0,62.5,37.5,-16.950000000000003,Negative
Drama Not good  ogregrinning faceogregrinning faceogregrinning faceogregrinning faceogregrinning faceogrebroken heartbroken heartbroken heartbroken heartbroken heartbroken heartbroken heartbroken heartbroken heartbroken heartmoney with wingsmoney with wingsmoney with wingsmoney with wingsmoney with wingsmoney with wings,2023-04-24 06:03:42,,0.0,66.2,33.800000000000004,-99.22999999999999,Negative
It is good,2023-04-23 15:07:19,4.35.0,59.199999999999996,0.0,40.8,44.04,Positive
Sopar App,2023-04-22 22:15:43,,0.0,0.0,100.0,0.0,Neutral
thumbs upthumbs up,2023-04-22 21:07:40,4.35.0,0.0,0.0,100.0,0.0,Neutral
,2023-04-22 15:00:03,4.35.0,0.0,0.0,0.0,0.0,Neutral
Cannot open,2023-04-22 07:44:46,4.35.0,0.0,0.0,100.0,0.0,Neutral
,2023-04-21 09:33:51,4.33.0,0.0,0.0,0.0,0.0,Neutral
Last month i order number recharge but i did not get my recharge stc just cut my money without giving me a balance i think it is just one time bug and again i order like total number times they just cut my money did not geve me balance on my stc and i go to mystc costumers care and explain all about that and they just return me number order cash back they did not give me other crying facecrying facecrying face,2023-04-20 08:17:35,4.34.0,12.7,13.100000000000001,74.2,-34.08,Negative
Good app,2023-04-19 21:07:58,4.33.0,74.4,0.0,25.6,44.04,Positive
Well old version is much better I can easily log anyhow keep it up STC,2023-04-19 20:03:21,4.35.0,40.2,0.0,59.8,75.06,Positive
Please add STC Pay service,2023-04-19 19:29:21,4.33.0,34.300000000000004,20.9,44.800000000000004,22.63,Positive
Not too smart not easy to use,2023-04-19 15:47:20,4.35.0,0.0,48.3,51.7,-56.67,Negative
Every time when i need to see the account status login required,2023-04-19 06:31:18,4.35.0,0.0,0.0,100.0,0.0,Neutral
,2023-04-19 05:03:08,4.33.0,0.0,0.0,0.0,0.0,Neutral
Nowadays very bad network for stc users,2023-04-18 18:13:53,4.35.0,0.0,38.7,61.3,-58.489999999999995,Negative
Buy the esim last the list option payment then showing this sorry this service is currently unavailable please try again later so many time problem like this I need to buy esim please help,2023-04-18 13:38:55,4.35.0,23.799999999999997,10.5,65.60000000000001,66.64,Positive
My stc app indicated that the app needs update After update I am unable to access my account I have number stc numbers but the app says you have no account with us Can you fix this please,2023-04-18 09:10:49,4.35.0,11.4,6.9,81.69999999999999,19.93,Positive
Easy to use this application,2023-04-17 23:59:35,,42.0,0.0,57.99999999999999,44.04,Positive
Be aware of fraud Transactions,2023-04-17 19:22:42,4.35.0,0.0,48.699999999999996,51.300000000000004,-58.589999999999996,Negative
Ek dam Kachra app hai,2023-04-17 17:08:48,4.34.0,0.0,0.0,100.0,0.0,Neutral
This was ok Now getting ERR CONNECTION CLOSED error when trying to pay for my subscription,2023-04-17 13:14:33,4.35.0,11.4,21.2,67.4,-22.63,Negative
,2023-04-16 19:51:07,4.35.0,0.0,0.0,0.0,0.0,Neutral
Very bad app never use it for payments they stole my money,2023-04-16 18:04:52,4.34.0,0.0,25.6,74.4,-58.489999999999995,Negative
After number week use app suddenly not working and reload option will appear than close it and again open it the same finally I do uninstall than install it working the same process do every week I have enough strong data in mobilelatest android version  updated UI  Google play services enabled everything is fine even though same issued since last number months,2023-04-16 15:35:42,4.35.0,15.5,0.0,84.5,79.64,Positive
After getting the latest update the application is not logging in Getting error check your Internet whereas my gsm data is enabled and working fine for other apps,2023-04-16 15:24:33,4.35.0,5.8999999999999995,8.9,85.2,-22.63,Negative
Got it,2023-04-16 14:42:47,4.35.0,0.0,0.0,100.0,0.0,Neutral
Very good thumbs up,2023-04-16 11:22:29,4.35.0,51.6,0.0,48.4,49.27,Positive
It says I can only choose sawanumber and it is not there in the option What can I do,2023-04-16 11:21:30,4.35.0,0.0,0.0,100.0,0.0,Neutral
Parbalm,2023-04-15 13:15:47,,0.0,0.0,100.0,0.0,Neutral
Guys i did not recieve the money i transfer to my contactpleas help,2023-04-14 21:10:26,4.34.0,21.3,0.0,78.7,40.19,Positive
Sopar,2023-04-14 11:11:07,4.33.0,0.0,0.0,100.0,0.0,Neutral
I like stc,2023-04-13 12:40:09,4.33.0,71.39999999999999,0.0,28.599999999999998,36.120000000000005,Positive
Ok thanks,2023-04-13 06:57:47,4.33.0,100.0,0.0,0.0,62.49,Positive
I am giving just one star because not Best internet offers like other networks Like social MB over All Data package Very costy and high prices specially no student offers No rewards on recharge just sent SMS after receiving balance that offers for you You people just replying over reviews but not working on your network problems that all customers face ned real network real work not only just replying reviews,2023-04-12 22:46:29,4.35.0,9.3,11.4,79.3,-39.87,Negative
Cannot recharge because I cannot enter anything because the keyboard does not appear and I cannot copy paste from another app Also still cannot save mada card and cannot use visa which I have been telling you for the past number years and you all not helping at all,2023-04-12 15:12:27,4.35.0,2.7,9.3,88.1,-49.66,Negative
Unable to pay because the keyboard does not open and paste does not work,2023-04-12 10:46:05,4.35.0,0.0,9.700000000000001,90.3,-10.27,Negative
Cannot be used to recharge Only option is to go to the shop Another provider might be better,2023-04-12 09:05:54,4.35.0,14.6,0.0,85.39999999999999,44.04,Positive
,2023-04-12 07:47:58,4.33.0,0.0,0.0,0.0,0.0,Neutral
Very helpful app,2023-04-12 02:18:20,4.35.0,60.699999999999996,0.0,39.300000000000004,47.54,Positive
Fine service,2023-04-12 02:17:26,4.35.0,64.3,0.0,35.699999999999996,20.23,Positive
Worst customer service not recommended anymore,2023-04-11 23:06:21,4.34.0,0.0,58.699999999999996,41.3,-69.0,Negative
thumbs downthumbs downthumbs downthumbs downthumbs down,2023-04-11 14:04:23,4.34.0,0.0,0.0,100.0,0.0,Neutral
Superb,2023-04-11 05:47:51,4.34.0,100.0,0.0,0.0,62.49,Positive
honestly great freaking app,2023-04-10 16:58:27,4.34.0,65.10000000000001,25.7,9.2,64.86,Positive
thumbs upthumbs upthumbs upthumbs up,2023-04-10 13:45:05,4.33.0,0.0,0.0,100.0,0.0,Neutral
,2023-04-10 11:44:06,4.34.0,0.0,0.0,0.0,0.0,Neutral
Not working,2023-04-10 10:44:43,,0.0,0.0,100.0,0.0,Neutral
Please tell me how to close number,2023-04-10 10:26:07,4.33.0,41.9,0.0,58.099999999999994,38.18,Positive
,2023-04-10 09:54:11,4.33.0,0.0,0.0,0.0,0.0,Neutral
We tried to recharge in internet number times stc took money but no recharge given Now stc is not giving back the money Why you are making it complicated You just take money easily but very hard to give back the money I am just ordinary employee numberxnumber is not easy to find,2023-04-09 03:37:53,,7.000000000000001,17.299999999999997,75.7,-73.92999999999999,Negative
Its good,2023-04-07 11:40:49,,74.4,0.0,25.6,44.04,Positive
,2023-04-07 05:57:54,4.22.0,0.0,0.0,0.0,0.0,Neutral
Except stc all other companys recharge are cheap but stcs data pakage is very expensive that is why i give you number star rating and it is right to port stc shim card now,2023-04-07 05:30:43,4.33.0,4.3,0.0,95.7,11.540000000000001,Positive
Very clunky to use You have to do the action multiple times to get the result It does not remember your card information and you can always assume that you will need to rewrite it at least number times because of the technical errors,2023-04-07 01:58:47,4.34.0,2.8000000000000003,5.3,91.9,-27.32,Negative
,2023-04-06 17:21:07,4.34.0,0.0,0.0,0.0,0.0,Neutral
poor apps,2023-04-06 00:43:06,,0.0,75.6,24.4,-47.67,Negative
Worst app ever seen Balance will get deduct but rechage will not happen If we complain in customer service they are telling to visit office if we visit office they are telling to call customer service Totally STC is waste Mobily is far better,2023-04-05 19:58:23,4.34.0,7.199999999999999,18.4,74.4,-72.23,Negative
It withdraw money from you are bank account and does not reflect in you are balance and when you call support they say you have to go to the bank then to stc shop to return the money Applications suppose to make things easier not harder,2023-04-05 07:02:55,4.34.0,11.1,0.0,88.9,67.05,Positive
Awesome for mine,2023-04-05 03:26:37,,67.2,0.0,32.800000000000004,62.49,Positive
It is a special days that from i getting started to deal with STC and i hope to them to get alwayse better for everytime Best regards Sultan Abdulaziz Alawwad,2023-04-04 14:10:51,,35.6,0.0,64.4,91.36,Positive
STC user since number keep up the good work red heartred heartred heart,2023-04-03 12:00:02,4.34.0,27.6,0.0,72.39999999999999,49.39,Positive
Not very clear to differentiate between number subscriptions,2023-04-03 10:27:27,4.34.0,13.4,24.7,61.9,-27.339999999999996,Negative
,2023-04-02 10:47:20,4.34.0,0.0,0.0,0.0,0.0,Neutral
,2023-04-02 09:28:48,4.34.0,0.0,0.0,0.0,0.0,Neutral
Mobily is way better than STCoffer up to number days why not make number days insane not like mobily offer up to number or number mos with affordable price,2023-04-02 05:00:44,4.34.0,23.200000000000003,13.8,63.0,7.470000000000001,Positive
worst application I tried to buy balance from this app and it was declined Then suddenly I received a message that I paid for the balance that I did not even receive I tried to check in the app there was nothing and customer service told me to wait for number days worst,2023-04-01 13:58:04,4.34.0,2.4,15.299999999999999,82.19999999999999,-83.6,Negative
Very bad app You cannot recharge by card It keeps provide errors I tried multiple time to recharge but it keeps on failing Not recommended,2023-04-01 13:09:51,4.34.0,0.0,34.300000000000004,65.7,-85.68,Negative
I try now this apps I do not know this good or bad,2023-04-01 12:02:54,,21.3,22.0,56.699999999999996,-3.2300000000000004,Negative
thumbs up,2023-04-01 09:03:34,,0.0,0.0,100.0,0.0,Neutral
Bad app it could not show any information and it always shows error,2023-03-31 18:08:41,4.34.0,0.0,36.0,64.0,-73.50999999999999,Negative
Stc net too weak It is not profit we shud port other network  I am seek up net,2023-03-31 15:58:41,,0.0,26.1,73.9,-64.92,Negative
,2023-03-31 14:50:37,,0.0,0.0,0.0,0.0,Neutral
I tried recharging my balance  after I typed in my credit card details for the payment it went like Sorry There was a problem processing your request Your payment will be cancelled shortly But I was charged though and my recharge balance is still Zero I did it number times and still my balance is empty I need refund,2023-03-31 12:01:15,,8.5,15.1,76.4,-44.04,Negative
,2023-03-31 03:02:30,4.34.0,0.0,0.0,0.0,0.0,Neutral
i am recharge numbersr use stc pay my money not reciveThanks now refund,2023-03-30 08:44:00,,0.0,11.3,88.7,-10.27,Negative
Please help i cannot access the app It keeps on sending messages that it already gave the pin number to my mobile while it did not happen,2023-03-30 05:35:06,4.34.0,21.5,0.0,78.5,64.86,Positive
Very helpful app,2023-03-29 18:04:07,4.34.0,60.699999999999996,0.0,39.300000000000004,47.54,Positive
,2023-03-29 17:53:48,4.34.0,0.0,0.0,0.0,0.0,Neutral
Useless Worst app ever set to auto top up did not work and trying to top up manually is a nightmare The app just keeps stalling and cancelling payments If it was not for the fact the stc is the strongest signal in my area I would leave,2023-03-29 10:38:59,4.33.0,11.600000000000001,20.8,67.60000000000001,-63.690000000000005,Negative
The best app ever thanks support team also,2023-03-27 17:40:33,,66.2,0.0,33.800000000000004,86.89,Positive
nice pics,2023-03-27 17:35:14,4.29.0,73.7,0.0,26.3,42.15,Positive
Most high paid data bundle,2023-03-27 07:32:02,4.34.0,0.0,0.0,100.0,0.0,Neutral
Very nice app technicality business ui ux all are intelligence and creative,2023-03-27 04:08:46,4.34.0,50.3,0.0,49.7,84.39,Positive
No comment,2023-03-26 10:38:35,4.33.0,0.0,68.8,31.2,-29.599999999999998,Negative
